"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
3.884911481E1,6.532274131E1,2.537319831E1,1.038327410E1,1.269999981E0,2.822999878E2,1.020408154E0,2.000000000E0
3.984911460E1,6.532274378E1,2.537317014E1,1.038326353E1,1.220000029E0,2.821000061E2,1.020408154E0,2.000000000E0
4.084911435E1,6.532274592E1,2.537314299E1,1.138325344E1,1.199999928E0,2.836000061E2,1.020408154E0,2.000000000E0
4.184911419E1,6.532274831E1,2.537311273E1,1.138324220E1,1.319999933E0,2.806000061E2,1.020408154E0,2.000000000E0
4.284911393E1,6.532274676E1,2.537312237E1,1.138324615E1,1.419999957E0,2.777000122E2,1.020408154E0,2.000000000E0
4.384911369E1,6.532274571E1,2.537313150E1,1.138324969E1,1.360000014E0,2.797999878E2,1.020408154E0,2.000000000E0
4.484911350E1,6.532274479E1,2.537314114E1,1.138325335E1,1.309999943E0,2.792000122E2,1.020408154E0,2.000000000E0
4.584911335E1,6.532274378E1,2.537315120E1,1.138325718E1,1.299999952E0,2.795000000E2,1.020408154E0,2.000000000E0
4.684911307E1,6.532274621E1,2.537312094E1,1.238324592E1,1.299999952E0,2.746000061E2,1.020408154E0,2.000000000E0
4.784911294E1,6.532274852E1,2.537309068E1,1.238323472E1,1.299999952E0,2.737999878E2,1.020408154E0,2.000000000E0
4.884911275E1,6.532275074E1,2.537306009E1,1.238322345E1,1.299999952E0,2.750000000E2,1.020408154E0,2.000000000E0
4.984911267E1,6.532275279E1,2.537302983E1,1.238321236E1,1.279999971E0,2.772000122E2,1.020408154E0,2.000000000E0
5.084911245E1,6.532275480E1,2.537299949E1,1.238320127E1,1.279999971E0,2.771000061E2,1.020408154E0,2.000000000E0
5.184911235E1,6.532275677E1,2.537296881E1,1.238319008E1,1.289999962E0,2.787000122E2,1.020408154E0,2.000000000E0
5.284911218E1,6.532275874E1,2.537293822E1,1.238317892E1,1.289999962E0,2.797000122E2,1.020408154E0,2.000000000E0
5.384911205E1,6.532276080E1,2.537290737E1,1.238316764E1,1.299999952E0,2.812000122E2,1.020408154E0,2.000000000E0
5.484911190E1,6.532276293E1,2.537287636E1,1.238315626E1,1.309999943E0,2.772999878E2,1.020408154E0,2.000000000E0
5.584911185E1,6.532276499E1,2.537284534E1,1.238314492E1,1.309999943E0,2.708999939E2,1.020408154E0,2.000000000E0
5.684911176E1,6.532276679E1,2.537281358E1,1.238313345E1,1.339999914E0,2.715000000E2,1.020408154E0,2.000000000E0
5.784911166E1,6.532276851E1,2.537278131E1,1.238312184E1,1.360000014E0,2.730000000E2,1.020408154E0,2.000000000E0
5.884911164E1,6.532277014E1,2.537274853E1,1.238311011E1,1.379999995E0,2.763999939E2,1.020408154E0,2.000000000E0
5.984911144E1,6.532277178E1,2.537271551E1,1.238309829E1,1.389999986E0,2.776000061E2,1.020408154E0,2.000000000E0
6.084911141E1,6.532277328E1,2.537268290E1,1.338308667E1,1.389999986E0,2.798999939E2,1.020408154E0,2.000000000E0
6.184911139E1,6.532277500E1,2.537265038E1,1.338307498E1,1.379999995E0,2.775000000E2,1.020408154E0,2.000000000E0
6.284911134E1,6.532277664E1,2.537261778E1,1.338306330E1,1.379999995E0,2.660000000E2,1.020408154E0,2.000000000E0
6.384911133E1,6.532277789E1,2.537258525E1,1.438305182E1,1.389999986E0,2.698999939E2,1.020408154E0,2.000000000E0
6.484911129E1,6.532277907E1,2.537255265E1,1.438304036E1,1.399999976E0,2.772000122E2,1.020408154E0,2.000000000E0
6.584911124E1,6.532278024E1,2.537251954E1,1.438302872E1,1.409999967E0,2.773999939E2,1.020408154E0,2.000000000E0
6.684911125E1,6.532278137E1,2.537248610E1,1.438301700E1,1.419999957E0,2.772000122E2,1.020408154E0,2.000000000E0
6.784911117E1,6.532278255E1,2.537245207E1,1.538300505E1,1.439999938E0,2.817000122E2,1.020408154E0,2.000000000E0
6.884911119E1,6.532278393E1,2.537241753E1,1.538299284E1,1.459999919E0,2.835000000E2,1.020408154E0,2.000000000E0
6.984911120E1,6.532278556E1,2.537238350E1,1.538298069E1,1.459999919E0,2.806000061E2,1.020408154E0,2.000000000E0
7.084911126E1,6.532278728E1,2.537234972E1,1.538296857E1,1.449999928E0,2.800000000E2,1.020408154E0,2.000000000E0
7.184911132E1,6.532278913E1,2.537231619E1,1.538295649E1,1.439999938E0,2.797999878E2,1.020408154E0,1.000000000E0
7.284911133E1,6.532279097E1,2.537228367E1,1.538294474E1,1.399999976E0,2.790000000E2,1.020408154E0,2.000000000E0
7.384911138E1,6.532279277E1,2.537225191E1,1.538293326E1,1.360000014E0,2.797000122E2,1.020408154E0,2.000000000E0
7.484911145E1,6.532279457E1,2.537222098E1,1.538292207E1,1.319999933E0,2.755000000E2,1.020408154E0,2.000000000E0
7.584911157E1,6.532279617E1,2.537219089E1,1.538291125E1,1.269999981E0,2.722999878E2,1.020408154E0,2.000000000E0
7.684911162E1,6.532279747E1,2.537216138E1,1.538290076E1,1.240000010E0,2.753999939E2,1.020408154E0,2.000000000E0
7.784911165E1,6.532279851E1,2.537213196E1,1.538289042E1,1.230000019E0,2.787000122E2,1.020408154E0,1.000000000E0
7.884911178E1,6.532279948E1,2.537210246E1,1.638288009E1,1.230000019E0,2.706000061E2,1.020408154E0,1.000000000E0
7.984911184E1,6.532280015E1,2.537207337E1,1.638287004E1,1.209999919E0,2.717000122E2,1.020408154E0,1.000000000E0
8.084911192E1,6.532280053E1,2.537204445E1,1.638286017E1,1.209999919E0,2.726000061E2,1.020408154E0,1.000000000E0
8.184911205E1,6.532280074E1,2.537201520E1,1.638285028E1,1.209999919E0,2.767999878E2,1.020408154E0,1.000000000E0
8.284911214E1,6.532280090E1,2.537198595E1,1.638284040E1,1.209999919E0,2.812000122E2,1.020408154E0,1.000000000E0
8.384911228E1,6.532280111E1,2.537195644E1,1.738283042E1,1.230000019E0,2.797000122E2,1.020408154E0,2.000000000E0
8.484911242E1,6.532280153E1,2.537192526E1,1.638281978E1,1.289999962E0,2.802999878E2,1.020408154E0,1.000000000E0
8.584911261E1,6.532280220E1,2.537189299E1,1.638280865E1,1.339999914E0,2.707999878E2,1.020408154E0,2.000000000E0
