"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.078491817E2,6.532263641E1,2.536746156E1,9.381401416E0,1.679999948E0,2.591000061E2,1.020408154E0,2.000000000E0
2.088491826E2,6.532263440E1,2.536741588E1,8.381387057E0,1.679999948E0,2.580000000E2,1.020408154E0,2.000000000E0
2.098491835E2,6.532263222E1,2.536736987E1,9.381372665E0,1.699999928E0,2.600000000E2,1.020408154E0,2.000000000E0
2.108491844E2,6.532262983E1,2.536732393E1,9.381358398E0,1.699999928E0,2.556999969E2,1.020408154E0,2.000000000E0
2.118491853E2,6.532262710E1,2.536727817E1,8.381344345E0,1.709999919E0,2.543000031E2,1.020408154E0,2.000000000E0
2.128491864E2,6.532262413E1,2.536723274E1,8.381330521E0,1.709999919E0,2.495000000E2,1.020408154E0,2.000000000E0
2.138491873E2,6.532262073E1,2.536718806E1,8.381317146E0,1.679999948E0,2.473999939E2,1.020408154E0,2.000000000E0
2.148491882E2,6.532261700E1,2.536714523E1,8.381304546E0,1.649999976E0,2.510000000E2,1.020408154E0,2.000000000E0
2.158491891E2,6.532261302E1,2.536710399E1,8.381292596E0,1.610000014E0,2.533999939E2,1.020408154E0,2.000000000E0
2.168491900E2,6.532260896E1,2.536706351E1,8.381280939E0,1.569999933E0,2.528000031E2,1.020408154E0,2.000000000E0
2.178491910E2,6.532260477E1,2.536702445E1,8.381269818E0,1.529999971E0,2.488000031E2,1.020408154E0,2.000000000E0
2.188491919E2,6.532260062E1,2.536698698E1,8.381259210E0,1.469999909E0,2.530000000E2,1.020408154E0,1.000000000E0
2.198491929E2,6.532259668E1,2.536695211E1,8.381249376E0,1.379999995E0,2.538999939E2,1.020408154E0,2.000000000E0
2.208491938E2,6.532259668E1,2.536695211E1,8.381249376E0,1.379999995E0,2.543999939E2,1.020408154E0,2.000000000E0
2.218491948E2,6.532259027E1,2.536689579E1,8.381233512E0,9.199999571E-1,2.541999969E2,1.020408154E0,2.000000000E0
